Serial no.,Horse id,Horse-Gender,Horse-Height,Horse-Weight,Racer-Horse
163,H163,M,,,Yes
164,H164,M,71.0,1090.0,No
165,H165,M,46.0,,Yes
166,H166,M,54.0,480.0,Yes
167,H167,M,46.0,360.0,Yes
168,H168,F,57.0,590.0,No
169,H169,M,,391.0,No
170,H170,F,60.0,681.0,Yes
171,H171,M,,547.0,Yes
172,H172,M,,,No
173,H173,M,,,No
174,H174,M,,,Yes
175,H175,M,,547.0,Yes
176,H176,F,,,Yes
177,H177,M,61.0,738.0,No
178,H178,F,62.0,707.0,No
179,H179,M,63.0,766.0,No
180,H180,F,58.0,677.0,No
181,H181,,64.0,877.0,Yes
182,H182,F,62.0,773.0,Yes
183,H183,F,72.0,1173.0,Yes
184,H184,M,,230.0,No
185,H185,F,69.0,1034.0,No
186,H186,F,34.0,237.0,Yes
187,H187,M,54.0,495.0,No
188,H188,F,45.0,322.0,Yes
189,H189,F,57.0,550.0,No
190,H190,M,52.0,,No
191,H191,M,54.0,485.0,No
192,H192,M,59.0,695.0,No
193,H193,F,,335.0,Yes
194,H194,F,,,No
195,H195,M,,,No
196,H196,F,46.0,,No
197,H197,F,67.0,908.0,Yes
198,H198,M,,579.0,No
199,H199,F,64.0,,Yes
200,H200,M,,,Yes
201,H201,F,46.0,380.0,Yes
202,H202,M,52.0,413.0,Yes
203,H203,M,,,Yes
204,H204,,64.0,833.0,Yes
205,H205,M,65.0,837.0,Yes
206,H206,M,,880.0,No
207,H207,M,64.0,802.0,Yes
208,H208,F,65.0,,Yes
209,H209,M,59.0,615.0,Yes
210,H210,M,61.0,726.0,No
211,H211,F,52.0,,Yes
212,H212,F,,,No
213,H213,M,35.0,246.0,
214,H214,F,60.0,631.0,No
215,H215,M,63.0,,Yes
216,H216,F,47.0,,No
217,H217,M,,690.0,Yes
218,H218,F,,,Yes
219,H219,M,,882.0,No
220,H220,M,,507.0,Yes
221,H221,M,39.0,,Yes
222,H222,M,,,No
223,H223,,,,Yes
224,H224,M,53.0,490.0,No
225,H225,M,52.0,400.0,No
226,H226,M,44.0,,Yes
227,H227,F,57.0,,No
228,H228,F,53.0,463.0,Yes
229,H229,F,,771.0,Yes
230,H230,F,58.0,692.0,No
231,H231,M,,,Yes
232,H232,M,62.0,773.0,Yes
233,H233,F,,,No
234,H234,M,61.0,,Yes
235,H235,F,,194.0,Yes
236,H236,F,44.0,302.0,Yes
237,H237,M,,,Yes
238,H238,M,44.0,330.0,No
239,H239,F,55.0,,Yes
240,H240,M,,,Yes
241,H241,M,,,Yes
242,H242,F,,,Yes
243,H243,F,59.0,675.0,Yes
244,H244,M,61.0,774.0,No
245,H245,M,65.0,,No
246,H246,M,,,Yes
247,H247,M,70.0,1102.0,No
248,H248,M,65.0,800.0,No
249,H249,M,58.0,657.0,No
250,H250,F,,,No
251,H251,M,,,Yes
252,H252,M,51.0,435.0,No
253,H253,F,45.0,327.0,No
254,H254,M,62.0,720.0,Yes
255,H255,F,,,No
256,H256,F,,,No
257,H257,F,65.0,864.0,Yes
258,H258,F,37.0,,Yes
259,H259,F,57.0,552.0,No
260,H260,M,,778.0,Yes
261,H261,F,,,No
262,H262,F,,,Yes
263,H263,F,,567.0,Yes
264,H264,F,60.0,667.0,Yes
265,H265,F,,,No
266,H266,M,45.0,319.0,No
267,H267,F,65.0,874.0,Yes
268,H268,M,61.0,786.0,No
269,H269,M,53.0,483.0,Yes
270,H270,M,62.0,,No
271,H271,F,,,No
272,H272,M,59.0,,No
273,H273,F,,,Yes
274,H274,F,54.0,454.0,Yes
275,H275,M,58.0,,Yes
276,H276,F,61.0,710.0,No
277,H277,F,,,Yes
278,H278,M,39.0,282.0,Yes
279,H279,M,56.0,514.0,No
280,H280,M,,550.0,No
281,H281,F,53.0,454.0,No
282,H282,M,63.0,706.0,No
283,H283,,45.0,,Yes
284,H284,M,,,No
285,H285,F,42.0,291.0,No
286,H286,M,71.0,1140.0,No
287,H287,M,,488.0,No
288,H288,F,69.0,1014.0,Yes
289,H289,,60.0,687.0,No
290,H290,F,,1065.0,No
291,H291,F,44.0,332.0,Yes
292,H292,F,,559.0,Yes
293,H293,M,32.0,208.0,No
294,H294,M,,1147.0,Yes
295,H295,F,,,Yes
296,H296,M,,,No
297,H297,M,,,Yes
298,H298,M,,678.0,Yes
299,H299,M,66.0,907.0,Yes
300,H300,F,61.0,766.0,No
301,H301,M,,488.0,Yes
302,H302,M,60.0,663.0,No
303,H303,M,50.0,,Yes
304,H304,M,47.0,385.0,No
305,H305,F,65.0,810.0,No
306,H306,F,61.0,726.0,Yes
307,H307,F,56.0,,No
308,H308,M,33.0,,No
309,H309,F,65.0,838.0,Yes
310,H310,M,,,Yes
311,H311,M,47.0,374.0,Yes
312,H312,M,72.0,1161.0,Yes
313,H313,,,246.0,No
314,H314,F,49.0,376.0,No
315,H315,,65.0,,No
316,H316,M,61.0,,Yes
317,H317,M,63.0,781.0,Yes
318,H318,M,61.0,757.0,Yes
319,H319,F,61.0,730.0,Yes
320,H320,M,,672.0,Yes
321,H321,F,58.0,663.0,Yes
322,H322,F,60.0,,No
323,H323,F,64.0,898.0,No
324,H324,F,58.0,657.0,No
325,H325,F,66.0,935.0,No
326,H326,F,,337.0,Yes
327,H327,F,,888.0,Yes
328,H328,M,,1075.0,Yes
329,H329,M,,,Yes
330,H330,F,57.0,511.0,No
331,H331,M,48.0,385.0,Yes
332,H332,F,50.0,448.0,No
333,H333,,52.0,413.0,Yes
334,H334,M,56.0,580.0,No
335,H335,F,50.0,,Yes
336,H336,M,,393.0,Yes
337,H337,F,35.0,,Yes
338,H338,M,64.0,,Yes
339,H339,F,58.0,638.0,Yes
340,H340,M,70.0,,Yes
341,H341,F,60.0,664.0,Yes
342,H342,M,64.0,894.0,Yes
343,H343,M,,,Yes
344,H344,M,63.0,,Yes
345,H345,M,38.0,241.0,No
346,H346,F,,1137.0,Yes
347,H347,M,47.0,367.0,Yes
348,H348,F,34.0,237.0,Yes
349,H349,M,32.0,,No
350,H350,F,66.0,,Yes
351,H351,F,68.0,1044.0,No
352,H352,F,61.0,711.0,No
353,H353,M,59.0,688.0,Yes
354,H354,M,,,No
355,H355,M,,,No
356,H356,F,56.0,,No
357,H357,,65.0,845.0,Yes
358,H358,F,61.0,761.0,No
359,H359,M,,,No
360,H360,M,,,No
361,H361,M,33.0,252.0,No
362,H362,M,65.0,896.0,No
363,H363,M,64.0,856.0,No
364,H364,F,,,No
365,H365,,,241.0,Yes
366,H366,F,58.0,622.0,Yes
367,H367,F,,,No
368,H368,F,59.0,669.0,Yes
369,H369,M,,832.0,No
370,H370,F,48.0,398.0,No
371,H371,M,53.0,460.0,No
372,H372,M,48.0,368.0,Yes
373,H373,F,,,No
374,H374,F,,,No
375,H375,F,61.0,,Yes
376,H376,M,47.0,353.0,No
377,H377,F,64.0,884.0,Yes
378,H378,,64.0,833.0,No
379,H379,F,59.0,,No
380,H380,F,,,No
381,H381,F,54.0,,No
382,H382,M,60.0,677.0,No
383,H383,F,58.0,646.0,Yes
384,H384,M,62.0,733.0,Yes
385,H385,F,,727.0,No
386,H386,F,59.0,615.0,Yes
387,H387,M,43.0,,No
388,H388,F,70.0,,No
389,H389,F,58.0,,Yes
390,H390,M,,459.0,Yes
391,H391,M,,724.0,No
392,H392,M,,,Yes
393,H393,M,60.0,687.0,Yes
394,H394,F,34.0,241.0,Yes
395,H395,F,46.0,,Yes
396,H396,F,30.0,204.0,Yes
397,H397,F,63.0,,No
398,H398,M,,,Yes
399,H399,M,53.0,451.0,Yes
400,H400,M,57.0,542.0,No
401,H401,F,,389.0,No
402,H402,F,63.0,751.0,Yes
403,H403,F,54.0,458.0,No
404,H404,F,61.0,782.0,Yes
405,H405,M,,,Yes
406,H406,M,65.0,846.0,Yes
407,H407,F,61.0,797.0,No
408,H408,F,31.0,199.0,Yes
409,H409,,,,Yes
410,H410,F,,,No
411,H411,M,57.0,,Yes
412,H412,F,,,Yes
413,H413,F,57.0,525.0,No
414,H414,F,52.0,411.0,Yes
415,H415,M,44.0,,Yes
416,H416,F,61.0,736.0,Yes
417,H417,F,43.0,327.0,Yes
418,H418,F,,,Yes
419,H419,M,,,Yes
420,H420,M,51.0,408.0,Yes
421,H421,F,,1091.0,Yes
422,H422,M,64.0,,No
423,H423,M,58.0,621.0,No
424,H424,F,57.0,575.0,Yes
425,H425,M,60.0,687.0,No
426,H426,M,64.0,,Yes
427,H427,F,43.0,343.0,No
428,H428,M,34.0,234.0,No
429,H429,F,,389.0,No
430,H430,M,40.0,262.0,Yes
431,H431,M,,368.0,No
432,H432,M,,,No
433,H433,F,,,Yes
434,H434,F,47.0,,Yes
435,H435,F,40.0,263.0,No
436,H436,M,,,Yes
437,H437,,,422.0,No
438,H438,F,65.0,,Yes
439,H439,M,,334.0,Yes
440,H440,F,43.0,309.0,Yes
441,H441,M,54.0,471.0,Yes
442,H442,M,,375.0,No
443,H443,F,,,No
444,H444,F,54.0,483.0,No
445,H445,M,52.0,400.0,Yes
446,H446,M,56.0,598.0,No
447,H447,M,56.0,536.0,Yes
448,H448,F,56.0,,Yes
449,H449,M,,297.0,No
450,H450,F,65.0,884.0,No
451,H451,F,,423.0,Yes
452,H452,M,64.0,892.0,Yes
453,H453,M,,1059.0,No
454,H454,F,70.0,,Yes
455,H455,F,,246.0,Yes
456,H456,F,49.0,390.0,No
457,H457,F,64.0,881.0,No
458,H458,F,65.0,861.0,No
459,H459,F,60.0,684.0,Yes
460,H460,F,62.0,740.0,Yes
461,H461,M,64.0,816.0,No
462,H462,F,61.0,790.0,Yes
463,H463,M,,,No
464,H464,M,56.0,,Yes
465,H465,M,,,No
466,H466,M,45.0,313.0,No
467,H467,M,,,Yes
468,H468,M,62.0,793.0,No
469,H469,M,44.0,340.0,Yes
470,H470,F,64.0,866.0,Yes
471,H471,F,63.0,,No
472,H472,,44.0,318.0,No
473,H473,F,,,No
474,H474,M,,,No
475,H475,F,61.0,790.0,Yes
476,H476,M,61.0,,Yes
477,H477,F,65.0,,No
478,H478,M,,,Yes
479,H479,M,61.0,791.0,Yes
480,H480,M,,,Yes
481,H481,F,,596.0,No
482,H482,F,63.0,740.0,No
483,H483,F,56.0,580.0,Yes
484,H484,F,59.0,,No
485,H485,M,43.0,341.0,No
486,H486,M,56.0,,No
487,H487,F,62.0,790.0,No
488,H488,F,,517.0,No
489,H489,F,,,No
490,H490,F,66.0,,No
491,H491,M,46.0,390.0,Yes
492,H492,F,67.0,913.0,No
493,H493,F,,375.0,Yes
494,H494,F,,,Yes
495,H495,M,,,Yes
496,H496,F,51.0,417.0,No
497,H497,F,48.0,366.0,Yes
498,H498,M,57.0,580.0,Yes
499,H499,F,64.0,881.0,Yes
500,H500,F,,,No
501,H501,F,,,No
502,H502,F,,664.0,Yes
503,H503,,72.0,1170.0,No
504,H504,F,59.0,622.0,Yes
505,H505,M,49.0,,No
506,H506,F,63.0,797.0,Yes
507,H507,M,65.0,802.0,No
508,H508,F,54.0,479.0,Yes
509,H509,,,,Yes
510,H510,F,36.0,229.0,Yes
511,H511,M,57.0,,No
512,H512,F,47.0,,Yes
513,H513,F,,,Yes
514,H514,F,46.0,,Yes
515,H515,F,59.0,,No
516,H516,M,,,No
517,H517,M,60.0,,Yes
518,H518,M,59.0,,Yes
519,H519,F,65.0,,No
520,H520,M,68.0,1026.0,No
521,H521,F,,,No
522,H522,F,,,No
523,H523,M,,741.0,Yes
524,H524,F,58.0,,Yes
525,H525,F,63.0,,Yes
526,H526,F,71.0,1095.0,No
527,H527,F,,,No
528,H528,F,48.0,387.0,Yes
529,H529,F,,602.0,Yes
530,H530,F,,588.0,No
531,H531,F,,,Yes
532,H532,M,,674.0,Yes
533,H533,F,63.0,758.0,Yes
534,H534,F,58.0,650.0,No
535,H535,F,49.0,369.0,Yes
536,H536,M,,,Yes
537,H537,F,60.0,,No
538,H538,F,56.0,524.0,No
539,H539,M,52.0,401.0,Yes
540,H540,M,,317.0,Yes
541,H541,F,,,No
542,H542,F,,,No
543,H543,M,54.0,,No
544,H544,M,28.0,217.0,Yes
545,H545,M,61.0,770.0,Yes
546,H546,F,63.0,732.0,No
547,H547,M,61.0,,Yes
548,H548,M,54.0,472.0,No
549,H549,M,29.0,189.0,Yes
550,H550,M,65.0,818.0,No
551,H551,F,,,Yes
552,H552,F,,,Yes
553,H553,F,52.0,423.0,No
554,H554,M,,,No
555,H555,M,60.0,644.0,Yes
556,H556,F,45.0,300.0,Yes
557,H557,M,,408.0,Yes
558,H558,M,49.0,398.0,Yes
559,H559,F,51.0,,No
560,H560,M,56.0,541.0,No
561,H561,F,40.0,291.0,Yes
562,H562,M,,187.0,No
563,H563,F,32.0,,Yes
564,H564,F,,,Yes
565,H565,M,,522.0,Yes
566,H566,M,,,No
567,H567,M,,1130.0,Yes
568,H568,M,37.0,239.0,No
569,H569,F,44.0,,No
570,H570,M,64.0,834.0,No
571,H571,M,61.0,792.0,Yes
572,H572,F,39.0,,Yes
573,H573,M,,651.0,Yes
574,H574,F,31.0,188.0,No
575,H575,F,53.0,457.0,Yes
576,H576,M,62.0,719.0,No
577,H577,M,,,Yes
578,H578,M,,,No
579,H579,F,,596.0,No
580,H580,M,,,Yes
581,H581,F,62.0,757.0,Yes
582,H582,,53.0,,No
583,H583,M,58.0,,No
584,H584,F,,,Yes
585,H585,F,45.0,330.0,No
586,H586,F,70.0,1148.0,No
587,H587,F,,733.0,No
588,H588,F,,297.0,Yes
589,H589,F,,635.0,Yes
590,H590,F,,,No
591,H591,M,33.0,226.0,No
592,H592,M,,,No
593,H593,F,,,No
594,H594,F,,,No
595,H595,M,50.0,401.0,No
596,H596,M,35.0,,Yes
597,H597,F,47.0,363.0,Yes
598,H598,F,60.0,618.0,No
599,H599,F,52.0,408.0,No
600,H600,F,,,No
601,H601,M,57.0,,Yes
602,H602,M,33.0,224.0,Yes
603,H603,M,58.0,,Yes
604,H604,F,,,Yes
605,H605,M,28.0,,No
606,H606,M,56.0,574.0,No
607,H607,F,56.0,,No
608,H608,M,63.0,799.0,No
609,H609,F,57.0,581.0,Yes
610,H610,M,60.0,694.0,No
611,H611,M,,849.0,No
612,H612,M,61.0,797.0,No
613,H613,M,64.0,835.0,No
614,H614,M,47.0,,Yes
615,H615,M,68.0,,Yes
616,H616,,63.0,704.0,Yes
617,H617,,60.0,,Yes
618,H618,M,,,No
619,H619,F,,466.0,No
620,H620,M,58.0,685.0,No
621,H621,M,48.0,396.0,Yes
622,H622,F,71.0,1160.0,Yes
623,H623,F,45.0,303.0,Yes
624,H624,M,65.0,858.0,No
625,H625,M,,415.0,Yes
626,H626,F,43.0,302.0,Yes
627,H627,F,,221.0,Yes
628,H628,F,,,No
629,H629,F,33.0,233.0,No
630,H630,M,53.0,459.0,Yes
631,H631,F,61.0,715.0,No
632,H632,M,57.0,,No
633,H633,F,64.0,,No
634,H634,M,59.0,,No
635,H635,F,,797.0,Yes
636,H636,F,35.0,243.0,No
637,H637,M,,,Yes
638,H638,M,,,No
639,H639,F,53.0,,Yes
640,H640,F,58.0,602.0,Yes
641,H641,M,56.0,,Yes
642,H642,F,64.0,894.0,Yes
643,H643,,45.0,334.0,Yes
644,H644,M,52.0,444.0,Yes
645,H645,F,,,Yes
646,H646,M,51.0,407.0,No
647,H647,F,,880.0,No
648,H648,F,44.0,308.0,No
649,H649,M,,,No
650,H650,F,65.0,847.0,Yes
651,H651,M,51.0,406.0,No
652,H652,M,,,Yes
653,H653,F,59.0,657.0,No
654,H654,,,,Yes
655,H655,F,61.0,,No
656,H656,F,,704.0,No
657,H657,F,43.0,,No
658,H658,F,55.0,453.0,No
659,H659,M,71.0,1129.0,Yes
660,H660,M,,,No
661,H661,M,46.0,,No
662,H662,F,57.0,584.0,Yes
663,H663,F,,855.0,Yes
664,H664,F,58.0,,Yes
665,H665,F,,,Yes
666,H666,F,,617.0,Yes
667,H667,F,50.0,446.0,No
668,H668,,50.0,411.0,Yes
669,H669,F,58.0,668.0,Yes
670,H670,M,55.0,,No
671,H671,F,45.0,,No
672,H672,M,61.0,788.0,Yes
673,H673,F,46.0,394.0,No
674,H674,F,,,No
675,H675,M,52.0,428.0,Yes
676,H676,M,58.0,,Yes
677,H677,M,,951.0,Yes
678,H678,,67.0,915.0,No
679,H679,F,65.0,825.0,No
680,H680,F,43.0,336.0,No
681,H681,F,61.0,756.0,Yes
682,H682,M,63.0,,Yes
683,H683,,65.0,846.0,No
684,H684,F,59.0,669.0,Yes
685,H685,M,48.0,363.0,Yes
686,H686,M,52.0,406.0,Yes
687,H687,M,65.0,883.0,No
688,H688,F,,,Yes
689,H689,M,54.0,500.0,Yes
690,H690,F,67.0,,No
691,H691,M,57.0,,Yes
692,H692,M,57.0,536.0,Yes
693,H693,M,56.0,551.0,Yes
694,H694,F,,,No
695,H695,F,43.0,321.0,Yes
696,H696,,,,Yes
697,H697,M,,709.0,No
698,H698,M,,,No
699,H699,F,32.0,192.0,No
700,H700,M,,,Yes
701,H701,M,31.0,214.0,Yes
702,H702,F,65.0,,Yes
703,H703,F,57.0,523.0,No
704,H704,F,56.0,526.0,No
705,H705,M,64.0,892.0,Yes
706,H706,M,57.0,502.0,Yes
707,H707,M,,,No
708,H708,F,57.0,587.0,No
709,H709,F,62.0,773.0,No
710,H710,F,,750.0,Yes
711,H711,F,61.0,776.0,No
712,H712,M,,675.0,Yes
713,H713,F,51.0,414.0,No
714,H714,M,,843.0,Yes
715,H715,F,69.0,963.0,Yes
716,H716,F,,,No
717,H717,M,60.0,667.0,Yes
718,H718,M,57.0,581.0,No
719,H719,M,64.0,855.0,No
720,H720,F,54.0,476.0,Yes
721,H721,F,63.0,,No
722,H722,F,,,Yes
723,H723,F,56.0,540.0,No
724,H724,M,,,No
725,H725,M,57.0,528.0,Yes
726,H726,M,,743.0,Yes
727,H727,M,60.0,605.0,Yes
728,H728,F,63.0,744.0,Yes
729,H729,F,62.0,788.0,Yes
730,H730,,,404.0,No
731,H731,F,,,No
732,H732,F,,613.0,Yes
733,H733,F,57.0,,No
734,H734,F,53.0,,No
735,H735,M,56.0,585.0,No
736,H736,F,53.0,,No
737,H737,F,48.0,397.0,Yes
738,H738,,,493.0,Yes
739,H739,F,72.0,1197.0,Yes
740,H740,M,70.0,1145.0,Yes
741,H741,M,58.0,649.0,No
742,H742,M,59.0,624.0,Yes
743,H743,F,46.0,383.0,Yes
744,H744,M,62.0,,No
745,H745,F,64.0,876.0,Yes
746,H746,M,,,No
747,H747,F,65.0,872.0,Yes
748,H748,M,62.0,,Yes
749,H749,F,56.0,540.0,Yes
750,H750,M,30.0,186.0,Yes
751,H751,M,,439.0,Yes
752,H752,M,,,Yes
753,H753,F,63.0,718.0,Yes
754,H754,M,41.0,277.0,No
755,H755,F,,,No
756,H756,F,47.0,363.0,No
757,H757,F,64.0,,Yes
758,H758,M,,,No
759,H759,M,57.0,,No
760,H760,F,70.0,1151.0,No
761,H761,M,60.0,608.0,Yes
762,H762,M,,,Yes
763,H763,F,57.0,546.0,No
764,H764,M,59.0,607.0,No
765,H765,M,62.0,772.0,No
766,H766,M,50.0,406.0,Yes
767,H767,M,49.0,,No
768,H768,F,64.0,881.0,No
769,H769,F,,379.0,No
770,H770,F,58.0,,Yes
771,H771,M,58.0,651.0,No
772,H772,M,64.0,811.0,Yes
773,H773,M,64.0,882.0,No
774,H774,M,59.0,687.0,No
775,H775,M,,,Yes
776,H776,F,56.0,581.0,Yes
777,H777,M,65.0,870.0,No
778,H778,M,57.0,507.0,Yes
779,H779,M,,602.0,No
780,H780,F,,1128.0,No
781,H781,M,41.0,289.0,
782,H782,M,,,Yes
783,H783,M,,743.0,Yes
784,H784,F,43.0,339.0,Yes
785,H785,M,50.0,,Yes
786,H786,M,62.0,,No
787,H787,F,65.0,823.0,Yes
788,H788,,45.0,336.0,Yes
789,H789,F,31.0,186.0,Yes
790,H790,F,46.0,365.0,No
791,H791,F,67.0,,Yes
792,H792,F,,255.0,No
793,H793,M,61.0,799.0,No
794,H794,M,,447.0,Yes
795,H795,F,,,Yes
796,H796,F,,842.0,Yes
797,H797,M,33.0,,Yes
798,H798,F,43.0,335.0,No
799,H799,F,52.0,448.0,No
800,H800,M,,,Yes
801,H801,F,62.0,769.0,Yes
802,H802,M,52.0,446.0,No
803,H803,F,,,Yes
804,H804,M,64.0,,Yes
805,H805,F,,618.0,Yes
806,H806,F,,244.0,Yes
807,H807,F,65.0,865.0,Yes
808,H808,M,66.0,938.0,No
809,H809,M,63.0,755.0,No
810,H810,F,61.0,,No
811,H811,M,59.0,,No
812,H812,F,,721.0,No
813,H813,F,,228.0,No
814,H814,M,57.0,550.0,Yes
815,H815,M,58.0,656.0,
816,H816,M,,837.0,Yes
817,H817,M,64.0,808.0,No
818,H818,M,,,Yes
819,H819,F,,,Yes
820,H820,M,58.0,654.0,No
821,H821,F,60.0,646.0,No
822,H822,F,60.0,682.0,Yes
823,H823,M,64.0,837.0,No
824,H824,F,37.0,,No
825,H825,F,63.0,,No
826,H826,M,,459.0,Yes
827,H827,F,56.0,502.0,No
828,H828,M,59.0,639.0,Yes
829,H829,M,55.0,500.0,Yes
830,H830,F,58.0,637.0,Yes
831,H831,F,44.0,324.0,No
832,H832,M,60.0,,Yes
833,H833,M,43.0,,No
834,H834,M,35.0,,No
835,H835,F,53.0,,No
836,H836,F,,772.0,Yes
837,H837,M,54.0,493.0,Yes
838,H838,F,,770.0,No
839,H839,F,61.0,,Yes
840,H840,F,,,No
841,H841,F,61.0,787.0,Yes
842,H842,M,44.0,,Yes
843,H843,M,60.0,677.0,Yes
844,H844,M,69.0,,Yes
845,H845,M,,,No
846,H846,M,,624.0,No
847,H847,F,71.0,1146.0,No
848,H848,,56.0,,Yes
849,H849,M,62.0,,Yes
850,H850,M,,,No
851,H851,M,48.0,372.0,Yes
852,H852,M,43.0,305.0,No
853,H853,M,,690.0,No
854,H854,F,,,No
855,H855,M,60.0,626.0,No
856,H856,F,60.0,,Yes
857,H857,F,,,No
858,H858,M,54.0,469.0,No
859,H859,F,,,No
860,H860,M,,,No
861,H861,F,36.0,230.0,No
862,H862,F,,733.0,No
863,H863,F,57.0,,No
864,H864,F,64.0,,Yes
865,H865,F,,,No
866,H866,M,56.0,,No
867,H867,M,,478.0,Yes
868,H868,F,61.0,760.0,Yes
869,H869,M,53.0,,No
870,H870,M,64.0,,No
871,H871,F,63.0,,No
872,H872,M,,,Yes
873,H873,F,40.0,263.0,Yes
874,H874,F,,571.0,No
875,H875,M,,,No
876,H876,F,,438.0,Yes
877,H877,M,44.0,,Yes
878,H878,M,66.0,960.0,Yes
