Serial no.,Horse id,Horse-Gender,Horse-Height,Horse-Weight,Racer-Horse
71,H71,M,60.0,,No
72,H72,M,44.0,448.0,No
73,H73,M,,883.0,No
74,H74,F,,670.0,No
75,H75,M,44.0,479.0,Yes
76,H76,M,,891.0,Yes
77,H77,F,62.0,,Yes
78,H78,F,,196.0,Yes
79,H79,M,64.0,627.0,No
80,H80,F,54.0,352.0,No
81,H81,F,61.0,576.0,No
82,H82,F,60.0,521.0,No
83,H83,F,45.0,427.0,No
84,H84,F,61.0,685.0,Yes
85,H85,F,62.0,,Yes
86,H86,M,60.0,664.0,No
87,H87,F,38.0,,Yes
88,H88,M,64.0,606.0,No
89,H89,F,,,No
90,H90,M,,819.0,No
91,H91,F,63.0,552.0,No
92,H92,F,55.0,,No
93,H93,F,60.0,609.0,Yes
94,H94,M,71.0,,Yes
95,H95,M,28.0,181.0,No
96,H96,F,61.0,621.0,Yes
97,H97,F,58.0,,No
98,H98,F,56.0,669.0,Yes
99,H99,F,,772.0,No
100,H100,M,59.0,885.0,No
101,H101,M,,795.0,No
102,H102,F,60.0,532.0,No
103,H103,F,56.0,,No
104,H104,M,50.0,316.0,Yes
105,H105,M,,797.0,Yes
106,H106,M,56.0,,Yes
107,H107,M,64.0,646.0,Yes
108,H108,,42.0,309.0,No
109,H109,F,,947.0,Yes
110,H110,M,,435.0,No
111,H111,,,691.0,No
112,H112,F,36.0,263.0,No
113,H113,M,56.0,,Yes
114,H114,M,57.0,524.0,Yes
115,H115,F,57.0,,No
116,H116,F,44.0,469.0,Yes
117,H117,M,,646.0,No
118,H118,F,58.0,577.0,Yes
119,H119,F,60.0,799.0,Yes
120,H120,F,61.0,629.0,No
121,H121,M,49.0,349.0,No
122,H122,M,50.0,,Yes
123,H123,F,43.0,413.0,Yes
124,H124,M,55.0,,No
125,H125,M,60.0,,Yes
126,H126,,52.0,346.0,No
127,H127,F,52.0,305.0,Yes
128,H128,F,60.0,839.0,No
129,H129,M,61.0,623.0,No
130,H130,M,72.0,1092.0,Yes
131,H131,M,56.0,544.0,Yes
132,H132,M,45.0,303.0,Yes
133,H133,M,71.0,1184.0,No
134,H134,,28.0,,Yes
135,H135,F,43.0,,No
136,H136,F,62.0,630.0,No
137,H137,F,,,No
138,H138,F,,439.0,No
139,H139,F,,772.0,Yes
140,H140,F,,465.0,No
141,H141,M,44.0,393.0,No
142,H142,F,57.0,,Yes
143,H143,F,62.0,524.0,No
144,H144,F,63.0,853.0,No
145,H145,M,45.0,,No
146,H146,F,,698.0,Yes
147,H147,F,60.0,634.0,Yes
148,H148,M,,281.0,Yes
149,H149,M,52.0,440.0,No
150,H150,F,72.0,,No
151,H151,M,,288.0,No
152,H152,F,48.0,413.0,Yes
153,H153,F,,,Yes
154,H154,M,60.0,720.0,No
155,H155,M,66.0,,No
156,H156,,62.0,,Yes
157,H157,F,50.0,462.0,Yes
158,H158,M,60.0,763.0,No
159,H159,M,68.0,,Yes
160,H160,F,51.0,,No
161,H161,,48.0,349.0,Yes
162,H162,F,63.0,583.0,No
163,H163,F,,,No
164,H164,F,57.0,741.0,Yes
165,H165,M,,,Yes
166,H166,M,,440.0,No
167,H167,F,60.0,763.0,Yes
168,H168,M,50.0,307.0,No
169,H169,M,55.0,856.0,No
170,H170,F,,696.0,Yes
171,H171,F,,691.0,Yes
172,H172,F,61.0,780.0,No
173,H173,M,62.0,734.0,No
174,H174,M,55.0,,No
175,H175,F,56.0,509.0,Yes
176,H176,F,,,Yes
177,H177,,,659.0,Yes
178,H178,F,58.0,577.0,No
179,H179,M,59.0,,
180,H180,F,,,No
181,H181,F,,,Yes
182,H182,F,56.0,860.0,No
183,H183,F,31.0,,Yes
184,H184,M,,295.0,Yes
185,H185,M,,373.0,Yes
186,H186,F,63.0,615.0,Yes
187,H187,,62.0,697.0,No
188,H188,F,56.0,649.0,No
189,H189,F,,,No
190,H190,F,66.0,,No
191,H191,F,,706.0,Yes
192,H192,F,56.0,769.0,No
193,H193,M,60.0,,No
194,H194,F,,503.0,No
195,H195,F,58.0,,Yes
196,H196,F,,412.0,Yes
197,H197,F,47.0,455.0,No
198,H198,M,60.0,,Yes
199,H199,M,63.0,746.0,Yes
200,H200,M,55.0,570.0,No
201,H201,M,58.0,889.0,Yes
202,H202,F,38.0,,No
203,H203,M,47.0,433.0,Yes
204,H204,M,52.0,,No
205,H205,F,57.0,612.0,No
206,H206,M,,411.0,No
207,H207,M,63.0,,Yes
208,H208,M,42.0,422.0,No
209,H209,M,61.0,,Yes
210,H210,F,36.0,185.0,Yes
211,H211,F,50.0,446.0,No
212,H212,F,32.0,,No
213,H213,M,49.0,,Yes
214,H214,M,63.0,633.0,Yes
215,H215,F,,314.0,Yes
216,H216,F,,289.0,No
217,H217,M,63.0,863.0,Yes
218,H218,M,60.0,,No
219,H219,M,59.0,,Yes
220,H220,F,44.0,,Yes
221,H221,M,,757.0,Yes
222,H222,F,48.0,402.0,Yes
223,H223,M,69.0,1035.0,Yes
224,H224,F,,846.0,No
225,H225,F,59.0,883.0,No
226,H226,F,64.0,,Yes
227,H227,M,,1120.0,Yes
228,H228,F,48.0,,No
229,H229,M,,980.0,No
230,H230,F,65.0,975.0,Yes
231,H231,M,,883.0,No
232,H232,M,46.0,390.0,Yes
233,H233,,,1048.0,Yes
234,H234,M,,,Yes
235,H235,M,69.0,,Yes
236,H236,F,,463.0,No
237,H237,F,55.0,565.0,Yes
238,H238,F,64.0,,Yes
239,H239,F,46.0,368.0,No
240,H240,F,33.0,270.0,No
241,H241,M,48.0,464.0,No
242,H242,M,43.0,,Yes
243,H243,F,,635.0,No
244,H244,M,54.0,,No
245,H245,F,67.0,1118.0,No
246,H246,M,55.0,,Yes
247,H247,M,55.0,600.0,No
248,H248,F,51.0,323.0,Yes
249,H249,F,58.0,,No
250,H250,M,55.0,766.0,No
251,H251,F,60.0,529.0,Yes
252,H252,M,48.0,441.0,Yes
253,H253,M,63.0,699.0,Yes
254,H254,F,63.0,845.0,Yes
255,H255,F,62.0,,Yes
256,H256,F,,307.0,Yes
257,H257,F,,341.0,No
258,H258,,58.0,599.0,No
259,H259,M,55.0,,No
260,H260,M,,,No
261,H261,M,55.0,541.0,No
262,H262,M,,,No
263,H263,M,,590.0,Yes
264,H264,F,59.0,689.0,No
265,H265,F,57.0,708.0,No
266,H266,M,60.0,,No
267,H267,F,57.0,,No
268,H268,F,60.0,,No
269,H269,M,60.0,744.0,Yes
270,H270,M,56.0,814.0,Yes
271,H271,F,56.0,624.0,No
272,H272,F,,514.0,No
273,H273,M,,212.0,Yes
274,H274,F,,,Yes
275,H275,F,61.0,,Yes
276,H276,M,68.0,,No
277,H277,M,54.0,366.0,No
278,H278,F,,,No
279,H279,F,63.0,785.0,No
280,H280,F,59.0,719.0,No
281,H281,M,61.0,814.0,Yes
282,H282,F,,1092.0,Yes
283,H283,F,54.0,459.0,Yes
284,H284,M,29.0,229.0,Yes
285,H285,M,58.0,,No
286,H286,M,59.0,,No
287,H287,M,,648.0,No
288,H288,,50.0,403.0,Yes
289,H289,F,64.0,518.0,Yes
290,H290,F,44.0,,Yes
291,H291,M,61.0,564.0,No
292,H292,F,,1149.0,Yes
293,H293,,51.0,,Yes
294,H294,F,66.0,1184.0,Yes
295,H295,M,,,No
296,H296,M,61.0,,No
297,H297,F,,302.0,Yes
298,H298,M,57.0,598.0,Yes
299,H299,M,64.0,,Yes
300,H300,M,38.0,296.0,Yes
301,H301,M,58.0,628.0,No
302,H302,F,64.0,688.0,Yes
303,H303,M,67.0,999.0,Yes
304,H304,M,57.0,554.0,Yes
305,H305,M,,634.0,No
306,H306,,53.0,360.0,Yes
307,H307,F,56.0,,No
308,H308,M,33.0,292.0,No
309,H309,M,56.0,,Yes
310,H310,M,53.0,,Yes
311,H311,F,56.0,699.0,No
312,H312,F,69.0,,Yes
313,H313,M,,,Yes
314,H314,M,,766.0,No
315,H315,M,65.0,1177.0,No
316,H316,F,63.0,537.0,Yes
317,H317,F,61.0,,No
318,H318,F,59.0,615.0,No
319,H319,M,,1174.0,Yes
320,H320,M,65.0,1070.0,No
321,H321,F,,1090.0,Yes
322,H322,F,61.0,,Yes
323,H323,M,40.0,,No
324,H324,F,61.0,698.0,No
325,H325,M,43.0,458.0,No
326,H326,F,49.0,,Yes
327,H327,M,,816.0,No
328,H328,F,37.0,,No
329,H329,F,63.0,,No
330,H330,M,,,No
331,H331,F,58.0,,No
332,H332,M,64.0,,No
333,H333,F,,,No
334,H334,M,56.0,717.0,Yes
335,H335,M,48.0,,No
336,H336,F,,550.0,No
337,H337,M,60.0,,No
338,H338,F,,,Yes
339,H339,M,67.0,,No
340,H340,M,55.0,,No
341,H341,F,56.0,839.0,No
342,H342,F,50.0,301.0,No
343,H343,M,59.0,,Yes
344,H344,F,63.0,892.0,Yes
345,H345,F,,,Yes
346,H346,F,57.0,798.0,Yes
347,H347,F,33.0,,Yes
348,H348,F,,675.0,No
349,H349,F,44.0,416.0,No
350,H350,M,60.0,688.0,Yes
351,H351,M,,,No
352,H352,F,,421.0,Yes
353,H353,M,,,Yes
354,H354,F,62.0,516.0,No
355,H355,F,58.0,,No
356,H356,M,49.0,,No
357,H357,F,,641.0,Yes
358,H358,F,58.0,571.0,No
359,H359,F,42.0,,No
360,H360,F,,313.0,Yes
361,H361,F,,,No
362,H362,M,63.0,,Yes
363,H363,M,,,Yes
364,H364,M,37.0,193.0,Yes
365,H365,F,,711.0,Yes
366,H366,F,63.0,,Yes
367,H367,F,56.0,,No
368,H368,M,28.0,195.0,Yes
369,H369,F,58.0,708.0,No
370,H370,M,68.0,1093.0,Yes
371,H371,M,56.0,823.0,Yes
372,H372,M,,349.0,No
373,H373,M,55.0,,No
374,H374,,57.0,856.0,No
375,H375,F,61.0,602.0,No
376,H376,M,59.0,560.0,Yes
377,H377,F,56.0,,No
378,H378,M,61.0,708.0,Yes
379,H379,F,46.0,489.0,Yes
380,H380,F,,438.0,No
381,H381,F,,701.0,Yes
382,H382,F,42.0,476.0,No
383,H383,F,55.0,,Yes
384,H384,F,,462.0,Yes
385,H385,F,50.0,,No
386,H386,M,54.0,,No
387,H387,M,34.0,251.0,Yes
388,H388,F,53.0,,Yes
389,H389,F,,,No
390,H390,M,64.0,,No
391,H391,M,64.0,,No
392,H392,F,,366.0,No
393,H393,M,62.0,781.0,No
394,H394,F,,,No
395,H395,F,51.0,,No
396,H396,M,72.0,919.0,No
397,H397,F,,856.0,Yes
398,H398,F,55.0,,Yes
399,H399,F,43.0,429.0,No
400,H400,M,64.0,664.0,Yes
401,H401,M,64.0,776.0,Yes
402,H402,F,59.0,,Yes
403,H403,F,57.0,,Yes
404,H404,M,67.0,,Yes
405,H405,M,55.0,858.0,Yes
406,H406,M,60.0,818.0,No
407,H407,M,59.0,,No
408,H408,M,45.0,,No
409,H409,F,63.0,693.0,Yes
410,H410,,,,No
411,H411,M,56.0,,Yes
412,H412,M,62.0,548.0,No
413,H413,M,47.0,311.0,No
414,H414,,57.0,,Yes
415,H415,M,,1123.0,Yes
416,H416,F,61.0,,Yes
417,H417,,,547.0,No
418,H418,F,66.0,1148.0,No
419,H419,,63.0,,Yes
420,H420,F,46.0,323.0,Yes
421,H421,M,56.0,,No
422,H422,M,59.0,852.0,Yes
423,H423,F,58.0,,No
424,H424,M,56.0,694.0,No
425,H425,M,,872.0,No
426,H426,F,41.0,185.0,Yes
427,H427,F,54.0,498.0,No
428,H428,M,55.0,,No
429,H429,M,62.0,,Yes
430,H430,M,62.0,,Yes
431,H431,F,,510.0,Yes
432,H432,M,56.0,832.0,Yes
433,H433,,29.0,276.0,Yes
434,H434,M,,559.0,Yes
435,H435,F,64.0,869.0,No
436,H436,,,1163.0,No
437,H437,F,59.0,,No
438,H438,F,,,Yes
439,H439,F,63.0,528.0,Yes
440,H440,M,64.0,503.0,Yes
441,H441,F,55.0,763.0,No
442,H442,M,42.0,,Yes
443,H443,F,,372.0,No
444,H444,M,,,No
445,H445,M,65.0,949.0,No
446,H446,M,,592.0,No
447,H447,,61.0,,Yes
448,H448,M,58.0,,No
449,H449,F,,,No
450,H450,M,54.0,327.0,Yes
451,H451,F,34.0,183.0,No
452,H452,M,68.0,976.0,No
453,H453,F,70.0,1069.0,Yes
454,H454,M,57.0,,No
455,H455,M,49.0,,Yes
456,H456,M,,,Yes
457,H457,M,,318.0,No
458,H458,M,47.0,470.0,Yes
459,H459,F,49.0,459.0,No
460,H460,F,49.0,,No
461,H461,F,63.0,516.0,Yes
462,H462,F,,453.0,No
463,H463,F,,422.0,Yes
464,H464,M,,866.0,No
465,H465,F,,789.0,Yes
466,H466,M,29.0,216.0,Yes
467,H467,F,72.0,1030.0,No
468,H468,F,,,Yes
469,H469,F,61.0,762.0,Yes
470,H470,F,60.0,,Yes
471,H471,F,62.0,833.0,No
472,H472,F,47.0,,No
473,H473,M,58.0,,Yes
474,H474,M,,787.0,No
475,H475,F,63.0,679.0,No
476,H476,F,57.0,,No
477,H477,M,56.0,521.0,Yes
478,H478,M,,249.0,Yes
479,H479,F,,668.0,Yes
480,H480,M,,292.0,Yes
481,H481,F,57.0,,No
482,H482,M,58.0,,Yes
483,H483,M,55.0,,No
484,H484,M,,660.0,No
485,H485,F,49.0,,Yes
486,H486,F,,,Yes
487,H487,M,29.0,270.0,No
488,H488,M,43.0,331.0,Yes
489,H489,F,33.0,288.0,No
490,H490,F,,,Yes
491,H491,F,53.0,,No
492,H492,F,,,Yes
493,H493,,62.0,618.0,No
494,H494,F,,859.0,No
495,H495,M,,426.0,Yes
496,H496,M,60.0,534.0,No
497,H497,F,31.0,250.0,Yes
498,H498,M,44.0,338.0,Yes
499,H499,M,56.0,,No
500,H500,F,45.0,441.0,Yes
501,H501,F,63.0,,Yes
502,H502,M,57.0,,Yes
503,H503,F,,,Yes
504,H504,F,29.0,189.0,No
505,H505,,62.0,,No
506,H506,F,53.0,,No
507,H507,F,29.0,,Yes
508,H508,F,46.0,,No
509,H509,F,64.0,708.0,No
510,H510,F,65.0,1166.0,No
511,H511,F,60.0,,Yes
512,H512,F,58.0,720.0,Yes
513,H513,F,56.0,,Yes
514,H514,,,,Yes
515,H515,M,63.0,,Yes
516,H516,F,56.0,538.0,No
517,H517,M,68.0,,No
518,H518,F,,,No
519,H519,F,39.0,248.0,Yes
520,H520,F,62.0,519.0,No
521,H521,F,,326.0,No
522,H522,M,58.0,651.0,No
523,H523,M,,835.0,No
524,H524,F,,267.0,Yes
525,H525,F,48.0,,Yes
526,H526,F,33.0,,Yes
527,H527,M,,,Yes
528,H528,F,61.0,726.0,Yes
529,H529,M,,555.0,No
530,H530,M,,,Yes
531,H531,F,54.0,403.0,Yes
532,H532,M,50.0,,No
533,H533,M,,762.0,No
534,H534,M,,668.0,No
535,H535,F,57.0,,No
536,H536,F,51.0,368.0,Yes
537,H537,M,,,Yes
538,H538,M,57.0,,Yes
539,H539,F,,,Yes
540,H540,F,61.0,535.0,No
541,H541,M,,1200.0,Yes
542,H542,,28.0,208.0,Yes
543,H543,M,,395.0,No
544,H544,F,64.0,569.0,No
545,H545,M,58.0,549.0,Yes
546,H546,M,32.0,296.0,No
547,H547,M,53.0,,No
548,H548,M,,,No
549,H549,F,63.0,,No
550,H550,F,,318.0,No
551,H551,F,62.0,526.0,Yes
552,H552,M,51.0,446.0,No
553,H553,M,61.0,862.0,Yes
554,H554,F,62.0,,No
555,H555,M,,571.0,Yes
556,H556,F,,789.0,No
557,H557,F,,,No
558,H558,F,45.0,326.0,Yes
559,H559,M,,774.0,No
560,H560,F,63.0,559.0,Yes
561,H561,M,,432.0,No
562,H562,F,64.0,517.0,Yes
563,H563,F,65.0,1118.0,No
564,H564,F,65.0,,Yes
565,H565,F,46.0,385.0,Yes
566,H566,F,46.0,343.0,Yes
567,H567,F,61.0,,No
568,H568,F,58.0,,No
569,H569,M,55.0,,Yes
570,H570,M,72.0,920.0,No
571,H571,M,61.0,,Yes
572,H572,F,58.0,,No
573,H573,F,58.0,,No
574,H574,M,,767.0,Yes
575,H575,F,,317.0,Yes
576,H576,M,52.0,,No
577,H577,M,61.0,818.0,Yes
578,H578,F,60.0,,Yes
579,H579,F,,,No
580,H580,M,,871.0,No
581,H581,M,71.0,,No
582,H582,F,57.0,,No
583,H583,M,60.0,617.0,No
584,H584,F,,,Yes
585,H585,M,,850.0,No
586,H586,F,,,No
587,H587,M,45.0,405.0,No
588,H588,M,,,No
589,H589,M,44.0,393.0,No
590,H590,M,,454.0,Yes
591,H591,M,49.0,329.0,No
592,H592,,,528.0,No
593,H593,F,64.0,870.0,Yes
594,H594,M,56.0,510.0,Yes
595,H595,F,45.0,423.0,Yes
596,H596,M,,283.0,Yes
597,H597,M,,377.0,No
598,H598,M,59.0,,No
599,H599,,61.0,,Yes
600,H600,M,62.0,660.0,No
601,H601,M,57.0,,No
602,H602,M,64.0,,No
603,H603,F,64.0,,Yes
604,H604,M,66.0,,Yes
605,H605,M,,495.0,Yes
606,H606,F,,542.0,Yes
607,H607,M,55.0,863.0,No
608,H608,M,49.0,457.0,No
609,H609,F,63.0,506.0,Yes
610,H610,F,,,No
611,H611,F,57.0,,No
612,H612,M,51.0,400.0,No
613,H613,F,57.0,784.0,Yes
614,H614,F,47.0,,No
615,H615,M,60.0,523.0,No
616,H616,M,64.0,753.0,No
617,H617,M,53.0,,Yes
618,H618,M,33.0,,No
619,H619,M,56.0,,No
620,H620,M,,,No
621,H621,F,56.0,502.0,No
622,H622,M,50.0,484.0,Yes
623,H623,F,63.0,,No
624,H624,,45.0,,No
625,H625,M,,,No
626,H626,F,,653.0,Yes
627,H627,F,53.0,334.0,Yes
628,H628,F,47.0,475.0,Yes
629,H629,,60.0,,Yes
630,H630,M,31.0,,Yes
631,H631,M,58.0,753.0,Yes
632,H632,F,51.0,305.0,No
633,H633,F,64.0,859.0,No
634,H634,M,,,Yes
635,H635,F,,959.0,Yes
636,H636,F,57.0,677.0,Yes
637,H637,M,60.0,,No
638,H638,M,29.0,192.0,No
639,H639,M,,545.0,
640,H640,M,60.0,,Yes
641,H641,F,,501.0,Yes
642,H642,F,54.0,,No
643,H643,F,64.0,595.0,Yes
644,H644,M,60.0,561.0,Yes
645,H645,F,65.0,,Yes
646,H646,F,57.0,881.0,No
647,H647,F,29.0,215.0,No
648,H648,M,46.0,480.0,No
649,H649,M,52.0,499.0,Yes
650,H650,M,,571.0,Yes
651,H651,M,62.0,,No
652,H652,F,,,Yes
653,H653,F,,1063.0,Yes
654,H654,,64.0,,Yes
655,H655,M,52.0,,Yes
656,H656,M,,,No
657,H657,M,62.0,,Yes
658,H658,F,62.0,868.0,No
659,H659,M,,431.0,Yes
660,H660,F,,1040.0,Yes
661,H661,M,33.0,264.0,Yes
662,H662,F,56.0,764.0,Yes
663,H663,M,63.0,691.0,Yes
664,H664,F,55.0,866.0,No
665,H665,M,59.0,,No
666,H666,M,58.0,567.0,No
667,H667,F,60.0,,No
668,H668,M,30.0,,No
669,H669,F,62.0,566.0,No
670,H670,F,62.0,504.0,Yes
671,H671,F,59.0,769.0,No
672,H672,F,,688.0,No
673,H673,F,,,No
674,H674,M,45.0,331.0,Yes
675,H675,M,62.0,780.0,No
676,H676,M,43.0,309.0,No
677,H677,M,56.0,518.0,No
678,H678,F,47.0,,No
679,H679,M,53.0,,No
680,H680,F,,,No
681,H681,M,62.0,774.0,No
682,H682,F,55.0,,No
683,H683,M,41.0,267.0,Yes
684,H684,M,61.0,,No
685,H685,F,45.0,,No
686,H686,,56.0,,No
687,H687,F,41.0,195.0,No
688,H688,F,,684.0,No
689,H689,M,63.0,689.0,Yes
690,H690,M,56.0,863.0,Yes
691,H691,M,,,No
692,H692,F,71.0,1102.0,No
693,H693,F,47.0,300.0,Yes
694,H694,M,,,Yes
695,H695,M,56.0,667.0,Yes
696,H696,F,57.0,541.0,No
697,H697,F,31.0,228.0,No
698,H698,F,61.0,527.0,No
699,H699,F,64.0,763.0,No
700,H700,F,33.0,225.0,No
701,H701,,63.0,,No
702,H702,F,63.0,,No
703,H703,M,,,Yes
704,H704,F,,311.0,No
705,H705,M,32.0,271.0,Yes
706,H706,M,61.0,681.0,No
707,H707,F,55.0,,Yes
708,H708,F,61.0,630.0,No
709,H709,F,52.0,,Yes
710,H710,M,67.0,1192.0,Yes
711,H711,M,,,No
712,H712,M,,545.0,Yes
713,H713,M,59.0,878.0,Yes
714,H714,F,58.0,,Yes
715,H715,F,28.0,299.0,Yes
716,H716,F,36.0,287.0,Yes
717,H717,F,56.0,735.0,No
718,H718,F,61.0,,Yes
719,H719,F,,630.0,Yes
720,H720,F,,386.0,Yes
721,H721,M,55.0,841.0,Yes
722,H722,F,52.0,,Yes
723,H723,F,31.0,290.0,Yes
724,H724,M,,,No
725,H725,F,,,Yes
726,H726,F,,,Yes
727,H727,F,60.0,,Yes
728,H728,F,47.0,,No
729,H729,F,57.0,,Yes
730,H730,,56.0,,Yes
731,H731,M,64.0,,No
732,H732,M,61.0,614.0,Yes
733,H733,M,,,Yes
734,H734,F,56.0,,Yes
735,H735,M,59.0,,No
736,H736,M,52.0,430.0,Yes
737,H737,F,61.0,,No
738,H738,M,62.0,846.0,No
739,H739,M,64.0,,No
740,H740,M,,,No
741,H741,F,62.0,750.0,Yes
742,H742,F,,,No
743,H743,M,50.0,311.0,No
744,H744,F,63.0,595.0,Yes
745,H745,M,52.0,435.0,No
746,H746,,64.0,521.0,Yes
747,H747,M,,,Yes
748,H748,M,53.0,,Yes
749,H749,F,60.0,731.0,No
750,H750,F,64.0,,No
751,H751,F,,,No
752,H752,M,58.0,583.0,No
753,H753,F,55.0,706.0,Yes
754,H754,M,,819.0,No
755,H755,F,62.0,526.0,No
756,H756,F,53.0,486.0,Yes
757,H757,F,,,No
758,H758,M,,,No
759,H759,M,57.0,,No
760,H760,F,,741.0,Yes
761,H761,M,51.0,458.0,Yes
762,H762,F,63.0,,Yes
763,H763,M,,,No
764,H764,F,42.0,308.0,Yes
765,H765,M,,,Yes
766,H766,M,,459.0,No
767,H767,M,,585.0,Yes
768,H768,M,53.0,454.0,Yes
769,H769,M,52.0,396.0,Yes
770,H770,M,44.0,422.0,Yes
771,H771,F,,727.0,No
772,H772,M,,671.0,Yes
773,H773,M,60.0,,No
774,H774,M,60.0,,No
775,H775,M,72.0,941.0,No
776,H776,M,67.0,,No
777,H777,F,61.0,869.0,No
778,H778,F,70.0,1131.0,Yes
779,H779,M,,785.0,No
780,H780,F,58.0,870.0,Yes
781,H781,F,60.0,876.0,No
782,H782,F,61.0,784.0,Yes
783,H783,M,54.0,362.0,No
784,H784,M,61.0,,No
785,H785,F,41.0,274.0,Yes
786,H786,M,,,No
787,H787,M,63.0,,Yes
788,H788,F,68.0,1112.0,No
789,H789,F,33.0,,Yes
790,H790,F,,893.0,No
791,H791,M,46.0,,No
792,H792,F,,406.0,No
793,H793,F,63.0,,Yes
794,H794,M,60.0,549.0,No
795,H795,F,57.0,,No
796,H796,F,60.0,844.0,Yes
797,H797,M,,784.0,Yes
798,H798,F,,863.0,No
799,H799,F,49.0,403.0,No
800,H800,M,,821.0,Yes
801,H801,M,55.0,757.0,No
802,H802,M,56.0,762.0,No
803,H803,F,33.0,,Yes
804,H804,F,58.0,801.0,No
805,H805,M,71.0,,Yes
806,H806,M,,793.0,Yes
807,H807,M,,807.0,Yes
808,H808,M,,,Yes
809,H809,F,,,
810,H810,M,55.0,849.0,Yes
811,H811,M,61.0,,No
812,H812,M,54.0,394.0,No
813,H813,F,60.0,,Yes
814,H814,F,,639.0,No
815,H815,F,72.0,1055.0,Yes
816,H816,M,,719.0,Yes
817,H817,F,64.0,692.0,Yes
818,H818,F,,386.0,Yes
819,H819,F,,663.0,Yes
820,H820,F,,772.0,No
821,H821,F,60.0,523.0,Yes
822,H822,F,68.0,,No
823,H823,F,34.0,195.0,No
824,H824,F,,444.0,Yes
825,H825,F,60.0,649.0,No
826,H826,M,53.0,,No
827,H827,M,52.0,,No
828,H828,F,58.0,850.0,Yes
829,H829,F,60.0,517.0,Yes
830,H830,,64.0,,No
831,H831,F,48.0,,Yes
832,H832,F,45.0,318.0,Yes
833,H833,F,62.0,663.0,No
834,H834,M,,1197.0,Yes
835,H835,F,64.0,,No
836,H836,F,47.0,492.0,Yes
837,H837,F,59.0,,Yes
838,H838,M,57.0,719.0,
839,H839,M,61.0,635.0,No
840,H840,M,64.0,702.0,Yes
841,H841,M,38.0,,No
842,H842,M,35.0,,Yes
843,H843,F,56.0,,Yes
844,H844,F,43.0,339.0,Yes
845,H845,F,68.0,1103.0,Yes
846,H846,F,52.0,361.0,Yes
847,H847,F,,,No
848,H848,F,54.0,,Yes
849,H849,M,60.0,525.0,No
850,H850,F,64.0,671.0,Yes
851,H851,M,49.0,308.0,No
852,H852,M,63.0,888.0,Yes
853,H853,M,68.0,913.0,No
854,H854,M,55.0,,No
855,H855,M,,275.0,No
856,H856,F,57.0,625.0,No
857,H857,F,62.0,,No
858,H858,M,,537.0,No
859,H859,F,56.0,541.0,Yes
860,H860,F,64.0,652.0,No
861,H861,M,,700.0,No
862,H862,M,59.0,555.0,No
863,H863,F,30.0,190.0,Yes
864,H864,M,61.0,838.0,Yes
865,H865,M,,557.0,Yes
866,H866,F,62.0,598.0,No
867,H867,,49.0,340.0,No
868,H868,,58.0,615.0,Yes
869,H869,F,35.0,,Yes
870,H870,M,61.0,752.0,No
871,H871,F,56.0,686.0,No
872,H872,M,50.0,355.0,No
873,H873,M,57.0,,No
