,Serial no.,Horse id,Horse-Gender,Horse-Height,Horse-Weight,Racer-Horse
141,142,H142,F,55.812658936611996,606.585796607797,Yes
142,143,H143,F,55.812658936611996,431.0,Yes
143,144,H144,F,55.812658936611996,606.585796607797,Yes
144,145,H145,M,50.0,606.585796607797,Yes
146,147,H147,F,58.0,679.0,No
147,148,H148,F,55.812658936611996,857.0,Yes
148,149,H149,M,65.0,832.0,Yes
149,150,H150,M,53.0,451.0,Yes
150,151,H151,M,59.0,606.585796607797,No
151,152,H152,M,55.812658936611996,606.585796607797,Yes
152,153,H153,M,36.0,224.0,Yes
153,154,H154,F,55.812658936611996,606.585796607797,No
154,155,H155,F,54.0,476.0,Yes
155,156,H156,M,69.0,1038.0,No
156,157,H157,F,55.812658936611996,606.585796607797,No
157,158,H158,M,55.812658936611996,606.585796607797,Yes
159,160,H160,M,55.812658936611996,606.585796607797,Yes
160,161,H161,F,48.0,364.0,Yes
161,162,H162,M,57.0,508.0,No
162,163,H163,M,55.812658936611996,606.585796607797,Yes
163,164,H164,M,71.0,1090.0,No
164,165,H165,M,46.0,606.585796607797,Yes
165,166,H166,M,54.0,480.0,Yes
166,167,H167,M,46.0,360.0,Yes
167,168,H168,F,57.0,590.0,No
168,169,H169,M,55.812658936611996,391.0,No
169,170,H170,F,60.0,681.0,Yes
170,171,H171,M,55.812658936611996,547.0,Yes
171,172,H172,M,55.812658936611996,606.585796607797,No
172,173,H173,M,55.812658936611996,606.585796607797,No
173,174,H174,M,55.812658936611996,606.585796607797,Yes
174,175,H175,M,55.812658936611996,547.0,Yes
175,176,H176,F,55.812658936611996,606.585796607797,Yes
176,177,H177,M,61.0,738.0,No
177,178,H178,F,62.0,707.0,No
178,179,H179,M,63.0,766.0,No
179,180,H180,F,58.0,677.0,No
181,182,H182,F,62.0,773.0,Yes
182,183,H183,F,72.0,1173.0,Yes
183,184,H184,M,55.812658936611996,230.0,No
184,185,H185,F,69.0,1034.0,No
185,186,H186,F,34.0,237.0,Yes
186,187,H187,M,54.0,495.0,No
187,188,H188,F,45.0,322.0,Yes
188,189,H189,F,57.0,550.0,No
189,190,H190,M,52.0,606.585796607797,No
190,191,H191,M,54.0,485.0,No
191,192,H192,M,59.0,695.0,No
192,193,H193,F,55.812658936611996,335.0,Yes
193,194,H194,F,55.812658936611996,606.585796607797,No
194,195,H195,M,55.812658936611996,606.585796607797,No
195,196,H196,F,46.0,606.585796607797,No
196,197,H197,F,67.0,908.0,Yes
197,198,H198,M,55.812658936611996,579.0,No
198,199,H199,F,64.0,606.585796607797,Yes
199,200,H200,M,55.812658936611996,606.585796607797,Yes
200,201,H201,F,46.0,380.0,Yes
201,202,H202,M,52.0,413.0,Yes
202,203,H203,M,55.812658936611996,606.585796607797,Yes
204,205,H205,M,65.0,837.0,Yes
205,206,H206,M,55.812658936611996,880.0,No
206,207,H207,M,64.0,802.0,Yes
207,208,H208,F,65.0,606.585796607797,Yes
208,209,H209,M,59.0,615.0,Yes
209,210,H210,M,61.0,726.0,No
210,211,H211,F,52.0,606.585796607797,Yes
211,212,H212,F,55.812658936611996,606.585796607797,No
213,214,H214,F,60.0,631.0,No
214,215,H215,M,63.0,606.585796607797,Yes
215,216,H216,F,47.0,606.585796607797,No
216,217,H217,M,55.812658936611996,690.0,Yes
217,218,H218,F,55.812658936611996,606.585796607797,Yes
218,219,H219,M,55.812658936611996,882.0,No
219,220,H220,M,55.812658936611996,507.0,Yes
220,221,H221,M,39.0,606.585796607797,Yes
221,222,H222,M,55.812658936611996,606.585796607797,No
223,224,H224,M,53.0,490.0,No
224,225,H225,M,52.0,400.0,No
225,226,H226,M,44.0,606.585796607797,Yes
226,227,H227,F,57.0,606.585796607797,No
227,228,H228,F,53.0,463.0,Yes
228,229,H229,F,55.812658936611996,771.0,Yes
229,230,H230,F,58.0,692.0,No
230,231,H231,M,55.812658936611996,606.585796607797,Yes
231,232,H232,M,62.0,773.0,Yes
232,233,H233,F,55.812658936611996,606.585796607797,No
233,234,H234,M,61.0,606.585796607797,Yes
234,235,H235,F,55.812658936611996,194.0,Yes
235,236,H236,F,44.0,302.0,Yes
236,237,H237,M,55.812658936611996,606.585796607797,Yes
237,238,H238,M,44.0,330.0,No
238,239,H239,F,55.0,606.585796607797,Yes
239,240,H240,M,55.812658936611996,606.585796607797,Yes
240,241,H241,M,55.812658936611996,606.585796607797,Yes
241,242,H242,F,55.812658936611996,606.585796607797,Yes
242,243,H243,F,59.0,675.0,Yes
243,244,H244,M,61.0,774.0,No
244,245,H245,M,65.0,606.585796607797,No
245,246,H246,M,55.812658936611996,606.585796607797,Yes
246,247,H247,M,70.0,1102.0,No
247,248,H248,M,65.0,800.0,No
248,249,H249,M,58.0,657.0,No
249,250,H250,F,55.812658936611996,606.585796607797,No
250,251,H251,M,55.812658936611996,606.585796607797,Yes
251,252,H252,M,51.0,435.0,No
252,253,H253,F,45.0,327.0,No
253,254,H254,M,62.0,720.0,Yes
254,255,H255,F,55.812658936611996,606.585796607797,No
255,256,H256,F,55.812658936611996,606.585796607797,No
256,257,H257,F,65.0,864.0,Yes
257,258,H258,F,37.0,606.585796607797,Yes
258,259,H259,F,57.0,552.0,No
259,260,H260,M,55.812658936611996,778.0,Yes
260,261,H261,F,55.812658936611996,606.585796607797,No
261,262,H262,F,55.812658936611996,606.585796607797,Yes
262,263,H263,F,55.812658936611996,567.0,Yes
263,264,H264,F,60.0,667.0,Yes
264,265,H265,F,55.812658936611996,606.585796607797,No
265,266,H266,M,45.0,319.0,No
266,267,H267,F,65.0,874.0,Yes
267,268,H268,M,61.0,786.0,No
268,269,H269,M,53.0,483.0,Yes
269,270,H270,M,62.0,606.585796607797,No
270,271,H271,F,55.812658936611996,606.585796607797,No
271,272,H272,M,59.0,606.585796607797,No
272,273,H273,F,55.812658936611996,606.585796607797,Yes
273,274,H274,F,54.0,454.0,Yes
274,275,H275,M,58.0,606.585796607797,Yes
275,276,H276,F,61.0,710.0,No
276,277,H277,F,55.812658936611996,606.585796607797,Yes
277,278,H278,M,39.0,282.0,Yes
278,279,H279,M,56.0,514.0,No
279,280,H280,M,55.812658936611996,550.0,No
280,281,H281,F,53.0,454.0,No
281,282,H282,M,63.0,706.0,No
283,284,H284,M,55.812658936611996,606.585796607797,No
284,285,H285,F,42.0,291.0,No
285,286,H286,M,71.0,1140.0,No
286,287,H287,M,55.812658936611996,488.0,No
287,288,H288,F,69.0,1014.0,Yes
289,290,H290,F,55.812658936611996,1065.0,No
290,291,H291,F,44.0,332.0,Yes
291,292,H292,F,55.812658936611996,559.0,Yes
292,293,H293,M,32.0,208.0,No
293,294,H294,M,55.812658936611996,1147.0,Yes
294,295,H295,F,55.812658936611996,606.585796607797,Yes
295,296,H296,M,55.812658936611996,606.585796607797,No
296,297,H297,M,55.812658936611996,606.585796607797,Yes
297,298,H298,M,55.812658936611996,678.0,Yes
298,299,H299,M,66.0,907.0,Yes
299,300,H300,F,61.0,766.0,No
300,301,H301,M,55.812658936611996,488.0,Yes
301,302,H302,M,60.0,663.0,No
302,303,H303,M,50.0,606.585796607797,Yes
303,304,H304,M,47.0,385.0,No
304,305,H305,F,65.0,810.0,No
305,306,H306,F,61.0,726.0,Yes
306,307,H307,F,56.0,606.585796607797,No
307,308,H308,M,33.0,606.585796607797,No
308,309,H309,F,65.0,838.0,Yes
309,310,H310,M,55.812658936611996,606.585796607797,Yes
310,311,H311,M,47.0,374.0,Yes
311,312,H312,M,72.0,1161.0,Yes
313,314,H314,F,49.0,376.0,No
315,316,H316,M,61.0,606.585796607797,Yes
316,317,H317,M,63.0,781.0,Yes
317,318,H318,M,61.0,757.0,Yes
318,319,H319,F,61.0,730.0,Yes
319,320,H320,M,55.812658936611996,672.0,Yes
320,321,H321,F,58.0,663.0,Yes
321,322,H322,F,60.0,606.585796607797,No
322,323,H323,F,64.0,898.0,No
323,324,H324,F,58.0,657.0,No
324,325,H325,F,66.0,935.0,No
325,326,H326,F,55.812658936611996,337.0,Yes
326,327,H327,F,55.812658936611996,888.0,Yes
327,328,H328,M,55.812658936611996,1075.0,Yes
328,329,H329,M,55.812658936611996,606.585796607797,Yes
329,330,H330,F,57.0,511.0,No
330,331,H331,M,48.0,385.0,Yes
331,332,H332,F,50.0,448.0,No
333,334,H334,M,56.0,580.0,No
334,335,H335,F,50.0,606.585796607797,Yes
335,336,H336,M,55.812658936611996,393.0,Yes
336,337,H337,F,35.0,606.585796607797,Yes
337,338,H338,M,64.0,606.585796607797,Yes
338,339,H339,F,58.0,638.0,Yes
339,340,H340,M,70.0,606.585796607797,Yes
340,341,H341,F,60.0,664.0,Yes
341,342,H342,M,64.0,894.0,Yes
342,343,H343,M,55.812658936611996,606.585796607797,Yes
343,344,H344,M,63.0,606.585796607797,Yes
344,345,H345,M,38.0,241.0,No
345,346,H346,F,55.812658936611996,1137.0,Yes
346,347,H347,M,47.0,367.0,Yes
347,348,H348,F,34.0,237.0,Yes
348,349,H349,M,32.0,606.585796607797,No
349,350,H350,F,66.0,606.585796607797,Yes
350,351,H351,F,68.0,1044.0,No
351,352,H352,F,61.0,711.0,No
352,353,H353,M,59.0,688.0,Yes
353,354,H354,M,55.812658936611996,606.585796607797,No
354,355,H355,M,55.812658936611996,606.585796607797,No
355,356,H356,F,56.0,606.585796607797,No
357,358,H358,F,61.0,761.0,No
358,359,H359,M,55.812658936611996,606.585796607797,No
359,360,H360,M,55.812658936611996,606.585796607797,No
360,361,H361,M,33.0,252.0,No
361,362,H362,M,65.0,896.0,No
362,363,H363,M,64.0,856.0,No
363,364,H364,F,55.812658936611996,606.585796607797,No
365,366,H366,F,58.0,622.0,Yes
366,367,H367,F,55.812658936611996,606.585796607797,No
367,368,H368,F,59.0,669.0,Yes
368,369,H369,M,55.812658936611996,832.0,No
369,370,H370,F,48.0,398.0,No
370,371,H371,M,53.0,460.0,No
371,372,H372,M,48.0,368.0,Yes
372,373,H373,F,55.812658936611996,606.585796607797,No
373,374,H374,F,55.812658936611996,606.585796607797,No
374,375,H375,F,61.0,606.585796607797,Yes
375,376,H376,M,47.0,353.0,No
376,377,H377,F,64.0,884.0,Yes
378,379,H379,F,59.0,606.585796607797,No
379,380,H380,F,55.812658936611996,606.585796607797,No
380,381,H381,F,54.0,606.585796607797,No
381,382,H382,M,60.0,677.0,No
382,383,H383,F,58.0,646.0,Yes
383,384,H384,M,62.0,733.0,Yes
384,385,H385,F,55.812658936611996,727.0,No
385,386,H386,F,59.0,615.0,Yes
386,387,H387,M,43.0,606.585796607797,No
387,388,H388,F,70.0,606.585796607797,No
388,389,H389,F,58.0,606.585796607797,Yes
389,390,H390,M,55.812658936611996,459.0,Yes
390,391,H391,M,55.812658936611996,724.0,No
391,392,H392,M,55.812658936611996,606.585796607797,Yes
392,393,H393,M,60.0,687.0,Yes
393,394,H394,F,34.0,241.0,Yes
394,395,H395,F,46.0,606.585796607797,Yes
395,396,H396,F,30.0,204.0,Yes
396,397,H397,F,63.0,606.585796607797,No
397,398,H398,M,55.812658936611996,606.585796607797,Yes
398,399,H399,M,53.0,451.0,Yes
399,400,H400,M,57.0,542.0,No
400,401,H401,F,55.812658936611996,389.0,No
401,402,H402,F,63.0,751.0,Yes
402,403,H403,F,54.0,458.0,No
403,404,H404,F,61.0,782.0,Yes
404,405,H405,M,55.812658936611996,606.585796607797,Yes
405,406,H406,M,65.0,846.0,Yes
406,407,H407,F,61.0,797.0,No
407,408,H408,F,31.0,199.0,Yes
409,410,H410,F,55.812658936611996,606.585796607797,No
410,411,H411,M,57.0,606.585796607797,Yes
411,412,H412,F,55.812658936611996,606.585796607797,Yes
412,413,H413,F,57.0,525.0,No
413,414,H414,F,52.0,411.0,Yes
414,415,H415,M,44.0,606.585796607797,Yes
415,416,H416,F,61.0,736.0,Yes
416,417,H417,F,43.0,327.0,Yes
417,418,H418,F,55.812658936611996,606.585796607797,Yes
418,419,H419,M,55.812658936611996,606.585796607797,Yes
419,420,H420,M,51.0,408.0,Yes
420,421,H421,F,55.812658936611996,1091.0,Yes
421,422,H422,M,64.0,606.585796607797,No
422,423,H423,M,58.0,621.0,No
423,424,H424,F,57.0,575.0,Yes
424,425,H425,M,60.0,687.0,No
425,426,H426,M,64.0,606.585796607797,Yes
426,427,H427,F,43.0,343.0,No
427,428,H428,M,34.0,234.0,No
428,429,H429,F,55.812658936611996,389.0,No
429,430,H430,M,40.0,262.0,Yes
430,431,H431,M,55.812658936611996,368.0,No
431,432,H432,M,55.812658936611996,606.585796607797,No
432,433,H433,F,55.812658936611996,606.585796607797,Yes
433,434,H434,F,47.0,606.585796607797,Yes
434,435,H435,F,40.0,263.0,No
435,436,H436,M,55.812658936611996,606.585796607797,Yes
437,438,H438,F,65.0,606.585796607797,Yes
438,439,H439,M,55.812658936611996,334.0,Yes
439,440,H440,F,43.0,309.0,Yes
440,441,H441,M,54.0,471.0,Yes
441,442,H442,M,55.812658936611996,375.0,No
442,443,H443,F,55.812658936611996,606.585796607797,No
443,444,H444,F,54.0,483.0,No
444,445,H445,M,52.0,400.0,Yes
445,446,H446,M,56.0,598.0,No
446,447,H447,M,56.0,536.0,Yes
447,448,H448,F,56.0,606.585796607797,Yes
448,449,H449,M,55.812658936611996,297.0,No
449,450,H450,F,65.0,884.0,No
450,451,H451,F,55.812658936611996,423.0,Yes
451,452,H452,M,64.0,892.0,Yes
452,453,H453,M,55.812658936611996,1059.0,No
453,454,H454,F,70.0,606.585796607797,Yes
454,455,H455,F,55.812658936611996,246.0,Yes
455,456,H456,F,49.0,390.0,No
456,457,H457,F,64.0,881.0,No
457,458,H458,F,65.0,861.0,No
458,459,H459,F,60.0,684.0,Yes
459,460,H460,F,62.0,740.0,Yes
460,461,H461,M,64.0,816.0,No
461,462,H462,F,61.0,790.0,Yes
462,463,H463,M,55.812658936611996,606.585796607797,No
463,464,H464,M,56.0,606.585796607797,Yes
464,465,H465,M,55.812658936611996,606.585796607797,No
465,466,H466,M,45.0,313.0,No
466,467,H467,M,55.812658936611996,606.585796607797,Yes
467,468,H468,M,62.0,793.0,No
468,469,H469,M,44.0,340.0,Yes
469,470,H470,F,64.0,866.0,Yes
470,471,H471,F,63.0,606.585796607797,No
472,473,H473,F,55.812658936611996,606.585796607797,No
473,474,H474,M,55.812658936611996,606.585796607797,No
474,475,H475,F,61.0,790.0,Yes
475,476,H476,M,61.0,606.585796607797,Yes
476,477,H477,F,65.0,606.585796607797,No
477,478,H478,M,55.812658936611996,606.585796607797,Yes
478,479,H479,M,61.0,791.0,Yes
479,480,H480,M,55.812658936611996,606.585796607797,Yes
480,481,H481,F,55.812658936611996,596.0,No
481,482,H482,F,63.0,740.0,No
482,483,H483,F,56.0,580.0,Yes
483,484,H484,F,59.0,606.585796607797,No
484,485,H485,M,43.0,341.0,No
485,486,H486,M,56.0,606.585796607797,No
486,487,H487,F,62.0,790.0,No
487,488,H488,F,55.812658936611996,517.0,No
488,489,H489,F,55.812658936611996,606.585796607797,No
489,490,H490,F,66.0,606.585796607797,No
490,491,H491,M,46.0,390.0,Yes
491,492,H492,F,67.0,913.0,No
492,493,H493,F,55.812658936611996,375.0,Yes
493,494,H494,F,55.812658936611996,606.585796607797,Yes
494,495,H495,M,55.812658936611996,606.585796607797,Yes
495,496,H496,F,51.0,417.0,No
496,497,H497,F,48.0,366.0,Yes
497,498,H498,M,57.0,580.0,Yes
498,499,H499,F,64.0,881.0,Yes
499,500,H500,F,55.812658936611996,606.585796607797,No
500,501,H501,F,55.812658936611996,606.585796607797,No
501,502,H502,F,55.812658936611996,664.0,Yes
503,504,H504,F,59.0,622.0,Yes
504,505,H505,M,49.0,606.585796607797,No
505,506,H506,F,63.0,797.0,Yes
506,507,H507,M,65.0,802.0,No
507,508,H508,F,54.0,479.0,Yes
509,510,H510,F,36.0,229.0,Yes
510,511,H511,M,57.0,606.585796607797,No
511,512,H512,F,47.0,606.585796607797,Yes
512,513,H513,F,55.812658936611996,606.585796607797,Yes
513,514,H514,F,46.0,606.585796607797,Yes
514,515,H515,F,59.0,606.585796607797,No
515,516,H516,M,55.812658936611996,606.585796607797,No
516,517,H517,M,60.0,606.585796607797,Yes
517,518,H518,M,59.0,606.585796607797,Yes
518,519,H519,F,65.0,606.585796607797,No
519,520,H520,M,68.0,1026.0,No
520,521,H521,F,55.812658936611996,606.585796607797,No
521,522,H522,F,55.812658936611996,606.585796607797,No
522,523,H523,M,55.812658936611996,741.0,Yes
523,524,H524,F,58.0,606.585796607797,Yes
524,525,H525,F,63.0,606.585796607797,Yes
525,526,H526,F,71.0,1095.0,No
526,527,H527,F,55.812658936611996,606.585796607797,No
527,528,H528,F,48.0,387.0,Yes
528,529,H529,F,55.812658936611996,602.0,Yes
529,530,H530,F,55.812658936611996,588.0,No
530,531,H531,F,55.812658936611996,606.585796607797,Yes
531,532,H532,M,55.812658936611996,674.0,Yes
532,533,H533,F,63.0,758.0,Yes
533,534,H534,F,58.0,650.0,No
534,535,H535,F,49.0,369.0,Yes
535,536,H536,M,55.812658936611996,606.585796607797,Yes
536,537,H537,F,60.0,606.585796607797,No
537,538,H538,F,56.0,524.0,No
538,539,H539,M,52.0,401.0,Yes
539,540,H540,M,55.812658936611996,317.0,Yes
540,541,H541,F,55.812658936611996,606.585796607797,No
541,542,H542,F,55.812658936611996,606.585796607797,No
542,543,H543,M,54.0,606.585796607797,No
543,544,H544,M,28.0,217.0,Yes
544,545,H545,M,61.0,770.0,Yes
545,546,H546,F,63.0,732.0,No
546,547,H547,M,61.0,606.585796607797,Yes
547,548,H548,M,54.0,472.0,No
548,549,H549,M,29.0,189.0,Yes
549,550,H550,M,65.0,818.0,No
550,551,H551,F,55.812658936611996,606.585796607797,Yes
551,552,H552,F,55.812658936611996,606.585796607797,Yes
552,553,H553,F,52.0,423.0,No
553,554,H554,M,55.812658936611996,606.585796607797,No
554,555,H555,M,60.0,644.0,Yes
555,556,H556,F,45.0,300.0,Yes
556,557,H557,M,55.812658936611996,408.0,Yes
557,558,H558,M,49.0,398.0,Yes
558,559,H559,F,51.0,606.585796607797,No
559,560,H560,M,56.0,541.0,No
560,561,H561,F,40.0,291.0,Yes
561,562,H562,M,55.812658936611996,187.0,No
562,563,H563,F,32.0,606.585796607797,Yes
563,564,H564,F,55.812658936611996,606.585796607797,Yes
564,565,H565,M,55.812658936611996,522.0,Yes
565,566,H566,M,55.812658936611996,606.585796607797,No
566,567,H567,M,55.812658936611996,1130.0,Yes
567,568,H568,M,37.0,239.0,No
568,569,H569,F,44.0,606.585796607797,No
569,570,H570,M,64.0,834.0,No
570,571,H571,M,61.0,792.0,Yes
571,572,H572,F,39.0,606.585796607797,Yes
572,573,H573,M,55.812658936611996,651.0,Yes
573,574,H574,F,31.0,188.0,No
574,575,H575,F,53.0,457.0,Yes
575,576,H576,M,62.0,719.0,No
576,577,H577,M,55.812658936611996,606.585796607797,Yes
577,578,H578,M,55.812658936611996,606.585796607797,No
578,579,H579,F,55.812658936611996,596.0,No
579,580,H580,M,55.812658936611996,606.585796607797,Yes
580,581,H581,F,62.0,757.0,Yes
582,583,H583,M,58.0,606.585796607797,No
583,584,H584,F,55.812658936611996,606.585796607797,Yes
584,585,H585,F,45.0,330.0,No
585,586,H586,F,70.0,1148.0,No
586,587,H587,F,55.812658936611996,733.0,No
587,588,H588,F,55.812658936611996,297.0,Yes
588,589,H589,F,55.812658936611996,635.0,Yes
589,590,H590,F,55.812658936611996,606.585796607797,No
590,591,H591,M,33.0,226.0,No
591,592,H592,M,55.812658936611996,606.585796607797,No
592,593,H593,F,55.812658936611996,606.585796607797,No
593,594,H594,F,55.812658936611996,606.585796607797,No
594,595,H595,M,50.0,401.0,No
595,596,H596,M,35.0,606.585796607797,Yes
596,597,H597,F,47.0,363.0,Yes
597,598,H598,F,60.0,618.0,No
598,599,H599,F,52.0,408.0,No
599,600,H600,F,55.812658936611996,606.585796607797,No
600,601,H601,M,57.0,606.585796607797,Yes
601,602,H602,M,33.0,224.0,Yes
602,603,H603,M,58.0,606.585796607797,Yes
603,604,H604,F,55.812658936611996,606.585796607797,Yes
604,605,H605,M,28.0,606.585796607797,No
605,606,H606,M,56.0,574.0,No
606,607,H607,F,56.0,606.585796607797,No
607,608,H608,M,63.0,799.0,No
608,609,H609,F,57.0,581.0,Yes
609,610,H610,M,60.0,694.0,No
610,611,H611,M,55.812658936611996,849.0,No
611,612,H612,M,61.0,797.0,No
612,613,H613,M,64.0,835.0,No
613,614,H614,M,47.0,606.585796607797,Yes
614,615,H615,M,68.0,606.585796607797,Yes
617,618,H618,M,55.812658936611996,606.585796607797,No
618,619,H619,F,55.812658936611996,466.0,No
619,620,H620,M,58.0,685.0,No
620,621,H621,M,48.0,396.0,Yes
621,622,H622,F,71.0,1160.0,Yes
622,623,H623,F,45.0,303.0,Yes
623,624,H624,M,65.0,858.0,No
624,625,H625,M,55.812658936611996,415.0,Yes
625,626,H626,F,43.0,302.0,Yes
626,627,H627,F,55.812658936611996,221.0,Yes
627,628,H628,F,55.812658936611996,606.585796607797,No
628,629,H629,F,33.0,233.0,No
629,630,H630,M,53.0,459.0,Yes
630,631,H631,F,61.0,715.0,No
631,632,H632,M,57.0,606.585796607797,No
632,633,H633,F,64.0,606.585796607797,No
633,634,H634,M,59.0,606.585796607797,No
634,635,H635,F,55.812658936611996,797.0,Yes
635,636,H636,F,35.0,243.0,No
636,637,H637,M,55.812658936611996,606.585796607797,Yes
637,638,H638,M,55.812658936611996,606.585796607797,No
638,639,H639,F,53.0,606.585796607797,Yes
639,640,H640,F,58.0,602.0,Yes
